Date,Close,High,Low,Open,currency_pair
1/12/2024,1.098164916,1.098659635,1.093708992,1.098164916,EUR/USD
1/15/2024,1.094570875,1.095890403,1.093410015,1.094570875,EUR/USD
1/16/2024,1.094570875,1.094666839,1.086708426,1.094570875,EUR/USD
1/17/2024,1.087878942,1.088494658,1.08453989,1.087878942,EUR/USD
1/18/2024,1.088577509,1.090750456,1.084869385,1.088577509,EUR/USD
1/19/2024,1.087914348,1.089265347,1.086826563,1.087914348,EUR/USD
1/22/2024,1.089229703,1.090988398,1.088032722,1.089229703,EUR/USD
1/23/2024,1.088020921,1.091822267,1.082426786,1.088020921,EUR/USD
1/24/2024,1.085788131,1.093147039,1.085187197,1.085788131,EUR/USD
1/25/2024,1.08817482,1.090037107,1.082614303,1.08817482,EUR/USD
1/26/2024,1.084704638,1.088328719,1.081338286,1.084704638,EUR/USD
1/29/2024,1.084351778,1.084975243,1.079715371,1.084351778,EUR/USD
1/30/2024,1.083447099,1.085564137,1.081268191,1.083447099,EUR/USD
1/31/2024,1.084339976,1.088565707,1.080765605,1.084339976,EUR/USD
2/1/2024,1.080392003,1.086555004,1.078027606,1.080392003,EUR/USD
2/2/2024,1.087464809,1.089799523,1.078306556,1.087464809,EUR/USD
2/5/2024,1.07800436,1.078748703,1.072466493,1.07800436,EUR/USD
2/6/2024,1.074183106,1.076310396,1.072455049,1.074183106,EUR/USD
2/7/2024,1.075719953,1.078434587,1.07563889,1.075719953,EUR/USD
2/8/2024,1.077574611,1.0789814,1.074310064,1.077574611,EUR/USD
2/9/2024,1.07772553,1.079447269,1.076391459,1.07772553,EUR/USD
2/12/2024,1.079820275,1.080543756,1.075766206,1.079820275,EUR/USD
2/13/2024,1.0772264,1.079563856,1.07020545,1.0772264,EUR/USD
2/14/2024,1.070893168,1.073445082,1.069553018,1.070893168,EUR/USD
2/15/2024,1.073214769,1.078632236,1.072524071,1.073214769,EUR/USD
2/16/2024,1.077388763,1.078050852,1.073445082,1.077388763,EUR/USD
2/19/2024,1.078492761,1.0789814,1.076298833,1.07844615,EUR/USD
2/20/2024,1.077539682,1.083858132,1.07625246,1.077539682,EUR/USD
2/21/2024,1.081314921,1.082251072,1.079191089,1.081314921,EUR/USD
2/22/2024,1.08204031,1.088624954,1.080508709,1.08204031,EUR/USD
2/23/2024,1.082567453,1.083940387,1.081373334,1.082567453,EUR/USD
2/26/2024,1.082005143,1.085906029,1.081338286,1.081958294,EUR/USD
2/27/2024,1.085093021,1.086614013,1.083364964,1.085093021,EUR/USD
2/28/2024,1.08448112,1.08471632,1.079867005,1.08448112,EUR/USD
2/29/2024,1.083881617,1.08558774,1.080567122,1.083881617,EUR/USD
3/1/2024,1.080497026,1.084151864,1.079925299,1.080497026,EUR/USD
3/4/2024,1.084269404,1.086649418,1.083858132,1.084269404,EUR/USD
3/5/2024,1.085517049,1.087535739,1.084269404,1.085517049,EUR/USD
3/6/2024,1.085599542,1.091405153,1.084293008,1.085599542,EUR/USD
3/7/2024,1.089953899,1.094091892,1.086932898,1.089953899,EUR/USD
3/8/2024,1.095014453,1.097803235,1.092705131,1.095014453,EUR/USD
3/11/2024,1.094295502,1.095050335,1.091464758,1.094295502,EUR/USD
3/12/2024,1.093135118,1.094211578,1.090322375,1.093135118,EUR/USD
3/13/2024,1.092776775,1.09493053,1.092048883,1.092776775,EUR/USD
3/14/2024,1.095530272,1.09547019,1.088411689,1.095530272,EUR/USD
3/15/2024,1.08834064,1.090155959,1.087381959,1.08834064,EUR/USD
3/18/2024,1.08825767,1.090750456,1.088080168,1.08825767,EUR/USD
3/19/2024,1.08739388,1.087784171,1.08350575,1.08739388,EUR/USD
3/20/2024,1.086330652,1.087429285,1.083693624,1.086330652,EUR/USD
3/21/2024,1.093721032,1.094451189,1.085646749,1.093721032,EUR/USD
3/22/2024,1.086236238,1.086956501,1.080905795,1.086236238,EUR/USD
3/25/2024,1.080753922,1.084363461,1.080263615,1.080753922,EUR/USD
3/26/2024,1.083822846,1.086413383,1.08260262,1.083822846,EUR/USD
3/27/2024,1.08323586,1.083928585,1.081174612,1.08323586,EUR/USD
3/28/2024,1.081338286,1.082836986,1.077551365,1.081338286,EUR/USD
3/29/2024,1.079447269,1.080730557,1.076889873,1.079447269,EUR/USD
4/1/2024,1.079272628,1.080146909,1.073157191,1.079272628,EUR/USD
4/2/2024,1.073721766,1.077876568,1.072535515,1.073721766,EUR/USD
4/3/2024,1.076855183,1.083188891,1.07647264,1.076855183,EUR/USD
4/4/2024,1.083834648,1.087583065,1.08350575,1.083834648,EUR/USD
4/5/2024,1.083705425,1.084845781,1.079167724,1.083705425,EUR/USD
4/8/2024,1.083048105,1.085835338,1.082157373,1.083048105,EUR/USD
4/9/2024,1.086366177,1.088850141,1.084987044,1.086366177,EUR/USD
4/10/2024,1.085929632,1.086838365,1.07337594,1.085929632,EUR/USD
4/11/2024,1.074171543,1.075581074,1.070045233,1.074171543,EUR/USD
4/12/2024,1.072685122,1.07296145,1.06237185,1.072685122,EUR/USD
4/15/2024,1.064962745,1.066552877,1.062360644,1.064962745,EUR/USD
4/16/2024,1.062574983,1.06540525,1.060411692,1.062574983,EUR/USD
4/17/2024,1.062146187,1.065268993,1.060816646,1.062146187,EUR/USD
4/18/2024,1.066939831,1.06917572,1.064781308,1.066939831,EUR/USD
4/19/2024,1.064418554,1.068033814,1.061176896,1.064418554,EUR/USD
4/22/2024,1.065825343,1.067121983,1.062507272,1.065779924,EUR/USD
4/23/2024,1.06540525,1.070996404,1.063931704,1.06540525,EUR/USD
4/24/2024,1.07043457,1.071581602,1.067919731,1.07043457,EUR/USD
4/25/2024,1.069987893,1.073191643,1.067874074,1.069987893,EUR/USD
4/26/2024,1.07296145,1.075291991,1.067554832,1.07296145,EUR/USD
4/29/2024,1.070686698,1.07353723,1.069095612,1.070686698,EUR/USD
4/30/2024,1.071570158,1.073652506,1.068433166,1.071570158,EUR/USD
5/1/2024,1.066655278,1.068867087,1.065008044,1.066655278,EUR/USD
5/2/2024,1.072156072,1.073076487,1.06757772,1.072156072,EUR/USD
